name,threshold,cost,precision,recall,f1,roc_auc,pr_auc,tn,fp,fn,tp,val_best_cost
diffusion_add75_lr,0.030000000000000002,23580.0,0.25663716814159293,0.928,0.4020797227036395,0.9717522773333334,0.5808662222952652,14617,1008,27,348,15160.0
ros_add75_lr,0.031,23750.0,0.27222659323367426,0.9226666666666666,0.4204131227217497,0.9723893760000001,0.5834018530040179,14700,925,29,346,15620.0
diff2_add80_lr_q0.6,0.030000000000000002,24160.0,0.24611032531824611,0.928,0.3890441587479039,0.9716947626666667,0.5808360974453826,14559,1066,27,348,15620.0
diffusion_add125_lr,0.031,24230.0,0.24489795918367346,0.928,0.38752783964365256,0.9718700373333334,0.5822859159776801,14552,1073,27,348,15630.0
diff2_add80_lr_q0.5,0.033,24260.0,0.2617246596066566,0.9226666666666666,0.40777843252799056,0.9719077546666665,0.5820696910302284,14649,976,29,346,15900.0
diff2_add60_lr_q0.7,0.033,24360.0,0.2693208430913349,0.92,0.4166666666666667,0.9718840320000001,0.581679032122311,14689,936,30,345,15700.0
diffusion_add100_lr,0.033,24540.0,0.26558891454965355,0.92,0.4121863799283154,0.9719497386666667,0.5819667508310644,14671,954,30,345,15790.0
diff2_add40_lr_q0.7,0.031,24580.0,0.26477359938603223,0.92,0.41120381406436235,0.9718396586666668,0.5823310138260459,14667,958,30,345,15840.0
plain_lr,0.031,24830.0,0.2797716150081566,0.9146666666666666,0.42848219862585885,0.971776512,0.5815477318499747,14742,883,32,343,15460.0
diffusion_add25_lr,0.032,24900.0,0.2781832927818329,0.9146666666666666,0.42661691542288555,0.9718398293333332,0.5812900871149426,14735,890,32,343,15450.0
diffusion_add50_lr,0.033,24900.0,0.2781832927818329,0.9146666666666666,0.42661691542288555,0.9718287360000002,0.5817573069719489,14735,890,32,343,15450.0
diff2_add40_lr_q0.5,0.033,24930.0,0.27750809061488674,0.9146666666666666,0.42582247051520794,0.9717800959999999,0.5819406713068747,14732,893,32,343,15470.0
diff2_add80_lr_q0.7,0.035,25220.0,0.2711462450592885,0.9146666666666666,0.41829268292682925,0.9718761813333335,0.582126034462941,14703,922,32,343,15600.0
diff2_add60_lr_q0.5,0.034,25220.0,0.2711462450592885,0.9146666666666666,0.41829268292682925,0.9717775359999999,0.5820663649366536,14703,922,32,343,15620.0
diff2_add40_lr_q0.6,0.033,25510.0,0.2751407884151247,0.912,0.4227441285537701,0.9718941013333334,0.5828357630440771,14724,901,33,342,15470.0
diff2_add60_lr_q0.6,0.035,25960.0,0.27566693613581245,0.9093333333333333,0.4230769230769231,0.9719461546666668,0.5820341719217202,14729,896,34,341,15990.0
